id	BTAS.1	BTAS.2	BTAS.3	BTAS.4	BTAS.6	MTAS.1	MTAS.2	MTAS.3	MTAS.4	MTAS.5	MTAS.6
PCHAS_0624300	1804	946	823	1798	1029	1059	757	587	835	508	790
PCHAS_0624400	906	813	337	1082	422	369	408	303	503	231	270
PCHAS_0624500	248	146	130	306	176	104	148	117	135	61	115
PCHAS_0624600	207	103	121	401	404	273	110	137	190	221	189
PCHAS_0624700	3642	2680	1841	4679	2962	1408	980	702	1156	652	1239
PCHAS_0624800	208739	129805	87228	257930	129161	172515	134034	114860	152267	77091	121982
PCHAS_0624900	615	549	147	959	324	215	152	125	277	88	152
PCHAS_0625000	626	279	261	735	599	4968	3412	2882	4835	2468	4811
PCHAS_0625100	15032	11802	8436	20536	9889	10949	9856	7500	11144	5344	8533
PCHAS_0625200	5040	3322	3844	6801	5499	2243	1196	1069	2326	773	2711
PCHAS_0625300	33478	24529	19377	44750	19915	50421	34531	29224	36366	21608	34008
PCHAS_0625400	681	470	368	826	401	676	340	372	440	430	555
PCHAS_0625500	1220	672	720	1512	1442	690	568	423	746	352	872
PCHAS_0625600	0	2	0	2	2	1	3	3	6	0	1
PCHAS_0625700	150	106	56	252	398	130	47	56	85	155	113
PCHAS_0625800	3509	1828	4382	4454	6659	2034	563	945	2996	1020	3649
PCHAS_0626000	1246	967	794	1687	1066	484	399	287	714	256	706
PCHAS_0626100	3309	3503	1851	4409	1210	316	626	296	950	261	347
PCHAS_0626200	67	38	25	125	64	1304	734	765	1344	516	918
PCHAS_0626300	61	23	31	60	33	476	324	257	641	131	300
PCHAS_0626400	63	34	1	83	61	76	21	13	87	41	44
PCHAS_0626500	8	1	3	11	3	218	154	112	366	76	100
PCHAS_0626600	39	29	5	30	25	255	201	240	406	102	282
PCHAS_0626700	69	54	21	65	51	1184	853	626	1410	422	987
PCHAS_0626800	50	12	5	53	23	502	541	358	1033	199	436
PCHAS_0626900	58	44	31	44	23	1464	737	664	1348	516	1001
PCHAS_0627000	660	666	207	1075	297	1660	1584	1188	1815	769	1049
PCHAS_0627100	28	27	36	52	10	3336	1979	1721	3608	1325	2181
PCHAS_0627200	15	10	10	10	4	1044	581	655	890	461	538
PCHAS_0627300	0	0	15	0	0	0	31	0	87	9	67
PCHAS_0627400	658	352	247	716	393	695	690	541	659	326	672
PCHAS_0700100	41	36	23	70	78	58	10	15	51	14	71
PCHAS_0700200	118	79	139	151	90	67	53	58	28	80	61
PCHAS_0700300	33	50	22	35	22	133	96	21	83	76	79
PCHAS_0700400	778	563	371	942	414	1084	1172	720	923	569	708
PCHAS_0700500	101	70	21	59	30	131	70	44	71	23	50
PCHAS_0700600	291	147	92	264	171	242	239	129	177	55	126
PCHAS_0700700	72	16	6	47	19	60	127	39	58	19	29
PCHAS_0700800	99	80	75	187	168	41	22	27	122	46	139
PCHAS_0700900	50	49	20	45	28	231	188	153	202	135	166
PCHAS_0701000	88	99	49	222	49	675	405	509	636	300	427
PCHAS_0701100	130	50	33	102	73	47	14	38	30	17	33
PCHAS_0701200	608	318	462	702	956	445	117	171	338	210	618
PCHAS_0701300	2216	1613	858	2549	1348	304	146	134	246	110	333
PCHAS_0701400	53	18	20	50	49	145	89	65	150	69	89
PCHAS_0701451	1	0	0	1	0	3	8	0	17	0	14
PCHAS_0701500	1140	480	505	1345	1338	679	393	390	713	318	954
PCHAS_0701600	216	167	92	251	130	17	23	12	15	14	18
PCHAS_0701700	63	24	7	48	24	25	17	15	15	6	9
PCHAS_0701800	754	667	499	990	658	642	688	425	794	265	611
PCHAS_0701900	1483	1253	840	1808	1122	775	855	630	1130	451	991
PCHAS_0702000	1633	1276	616	1998	1063	853	662	523	746	449	614
PCHAS_0702100	1255	782	562	1580	604	7603	3853	4100	5782	3547	5479
PCHAS_0702200	1746	1193	828	2253	1197	1907	1086	955	1371	1073	1210
PCHAS_0702300	8136	4607	2374	8795	4757	7882	5522	4936	5652	4179	5730
PCHAS_0702400	847	887	518	1179	485	591	587	450	678	306	489
PCHAS_0702500	37	56	19	79	31	51	6	10	28	18	27
PCHAS_0702600	2308	2040	1089	2499	1176	942	991	693	1024	647	611
PCHAS_0702700	860	621	248	994	529	294	349	273	366	199	233
PCHAS_0702800	646	519	279	891	363	232	353	206	311	137	210
PCHAS_0702900	1132	1142	761	1349	721	689	780	507	806	236	417
PCHAS_0703000	6620	3664	2497	7082	3712	5352	4084	3310	4106	2693	3788
PCHAS_0703100	2107	888	471	2871	1696	519	250	216	535	429	430
PCHAS_0703200	5	20	2	38	18	9	0	3	3	2	0
PCHAS_0703300	70	48	22	52	53	34	16	14	25	14	12
PCHAS_0703400	1124	856	282	1191	513	551	415	319	508	218	331
PCHAS_0703600	379	270	149	409	205	77	46	42	74	43	63
PCHAS_0703700	28	22	9	49	41	24	12	5	8	11	22
